algo,ordem,n,media_ms,mediana_ms,desvio_ms,minimo_ms,maximo_ms,execucoes
bucket+insertion,decrescente,100000,1258.50041,1265.5992,72.17331498571801,1138.4817,1355.748,10
bucket+merge,decrescente,100000,24.24517,23.962850000000003,4.314212017416648,19.1794,32.3992,10
counting,decrescente,100000,0.6103799999999999,0.62485,0.09239261394240941,0.4724,0.7988,10
heap,decrescente,100000,31.218920000000004,29.592799999999997,4.281812908310892,27.3107,40.9724,10
insertion,decrescente,100000,19873.811999999998,20086.85785,1674.0941015168125,15562.9002,21563.9126,10
merge,decrescente,100000,23.33866,22.53095,2.818631387827157,21.7149,31.3023,10
quick,decrescente,100000,16.06973,16.0086,0.7792960285482723,15.2495,17.2187,10
radixLSD,decrescente,100000,6.52613,6.50545,0.23113639575896433,6.3262,7.0826,10
selection,decrescente,100000,32304.33539,32221.38295,332.94493363393224,31758.4485,32901.5808,10
shell,decrescente,100000,15.582370000000001,15.587499999999999,2.582933039976067,11.8415,18.5941,10
bubble,decrescente,1000000,,,,,,0
bucket+insertion,decrescente,1000000,,,,,,0
bucket+merge,decrescente,1000000,,,,,,0
counting,decrescente,1000000,,,,,,0
heap,decrescente,1000000,,,,,,0
insertion,decrescente,1000000,,,,,,0
merge,decrescente,1000000,,,,,,0
quick,decrescente,1000000,,,,,,0
radixLSD,decrescente,1000000,,,,,,0
selection,decrescente,1000000,,,,,,0
shell,decrescente,1000000,,,,,,0
