representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,denso,Dijkstra,100,1.00,1,161700,4718592
MA,denso,Dijkstra,100,1.00,1,228100,4054496
LA,denso,Bellman-Ford,100,1.00,1,1643200,4718592
MA,denso,Bellman-Ford,100,1.00,1,1200000,4054496
LA,denso,Dijkstra,100,1.00,2,260600,4718592
MA,denso,Dijkstra,100,1.00,2,231800,4054496
LA,denso,Bellman-Ford,100,1.00,2,1583700,4718592
MA,denso,Bellman-Ford,100,1.00,2,1198600,4054496
LA,denso,Dijkstra,100,1.00,3,258700,4718592
MA,denso,Dijkstra,100,1.00,3,377200,4054496
LA,denso,Bellman-Ford,100,1.00,3,2437800,4718592
MA,denso,Bellman-Ford,100,1.00,3,822200,4054496
LA,denso,Dijkstra,100,1.00,4,183900,4718592
MA,denso,Dijkstra,100,1.00,4,213900,4054496
LA,denso,Bellman-Ford,100,1.00,4,1733100,4718592
MA,denso,Bellman-Ford,100,1.00,4,1055100,4054496
LA,denso,Dijkstra,100,1.00,5,463100,4718592
MA,denso,Dijkstra,100,1.00,5,218200,4054496
LA,denso,Bellman-Ford,100,1.00,5,1554300,4718592
MA,denso,Bellman-Ford,100,1.00,5,805800,4054496
LA,denso,Dijkstra,100,1.00,6,1051100,4718592
MA,denso,Dijkstra,100,1.00,6,217200,4054496
LA,denso,Bellman-Ford,100,1.00,6,1539800,4718592
MA,denso,Bellman-Ford,100,1.00,6,814400,4054496
LA,denso,Dijkstra,100,1.00,7,156700,4718592
MA,denso,Dijkstra,100,1.00,7,215000,4054496
LA,denso,Bellman-Ford,100,1.00,7,1902300,4718592
MA,denso,Bellman-Ford,100,1.00,7,818600,4054496
LA,denso,Dijkstra,100,1.00,8,130000,4718592
MA,denso,Dijkstra,100,1.00,8,158200,4054496
LA,denso,Bellman-Ford,100,1.00,8,1597800,4718592
MA,denso,Bellman-Ford,100,1.00,8,808600,4054496
LA,denso,Dijkstra,100,1.00,9,134900,4718592
MA,denso,Dijkstra,100,1.00,9,149100,4054496
LA,denso,Bellman-Ford,100,1.00,9,1544300,4718592
MA,denso,Bellman-Ford,100,1.00,9,805200,4054496
LA,denso,Dijkstra,100,1.00,10,104300,4718592
MA,denso,Dijkstra,100,1.00,10,143400,4054496
LA,denso,Bellman-Ford,100,1.00,10,1536200,4718592
MA,denso,Bellman-Ford,100,1.00,10,815800,4054496
LA,esparso,Dijkstra,200,0.40,1,143800,1436904
MA,esparso,Dijkstra,200,0.40,1,393700,722088
LA,esparso,Bellman-Ford,200,0.40,1,3961600,1436904
MA,esparso,Bellman-Ford,200,0.40,1,3350100,722088
LA,esparso,Dijkstra,200,0.40,2,190500,1436904
MA,esparso,Dijkstra,200,0.40,2,418100,722088
LA,esparso,Bellman-Ford,200,0.40,2,4118700,1436904
MA,esparso,Bellman-Ford,200,0.40,2,3307900,722088
LA,esparso,Dijkstra,200,0.40,3,172700,1436904
MA,esparso,Dijkstra,200,0.40,3,398400,722088
LA,esparso,Bellman-Ford,200,0.40,3,4075000,1436904
MA,esparso,Bellman-Ford,200,0.40,3,3492300,722088
LA,esparso,Dijkstra,200,0.40,4,197200,1436904
MA,esparso,Dijkstra,200,0.40,4,394100,722088
LA,esparso,Bellman-Ford,200,0.40,4,4793300,1436904
MA,esparso,Bellman-Ford,200,0.40,4,3417000,722088
LA,esparso,Dijkstra,200,0.40,5,202600,1436904
MA,esparso,Dijkstra,200,0.40,5,536200,722088
LA,esparso,Bellman-Ford,200,0.40,5,3984500,1436904
MA,esparso,Bellman-Ford,200,0.40,5,3430000,722088
LA,esparso,Dijkstra,200,0.40,6,198400,1436904
MA,esparso,Dijkstra,200,0.40,6,516300,722088
LA,esparso,Bellman-Ford,200,0.40,6,3973000,1436904
MA,esparso,Bellman-Ford,200,0.40,6,3476800,722088
LA,esparso,Dijkstra,200,0.40,7,197500,1436904
MA,esparso,Dijkstra,200,0.40,7,524600,722088
LA,esparso,Bellman-Ford,200,0.40,7,4558000,1436904
MA,esparso,Bellman-Ford,200,0.40,7,3648600,722088
LA,esparso,Dijkstra,200,0.40,8,204200,1436904
MA,esparso,Dijkstra,200,0.40,8,534200,722088
LA,esparso,Bellman-Ford,200,0.40,8,4257300,1436904
MA,esparso,Bellman-Ford,200,0.40,8,4485100,722088
LA,esparso,Dijkstra,200,0.40,9,244000,1436904
MA,esparso,Dijkstra,200,0.40,9,529900,722088
LA,esparso,Bellman-Ford,200,0.40,9,3717700,1436904
MA,esparso,Bellman-Ford,200,0.40,9,4143900,722088
LA,esparso,Dijkstra,200,0.40,10,295900,1436904
MA,esparso,Dijkstra,200,0.40,10,598900,722088
LA,esparso,Bellman-Ford,200,0.40,10,5677700,1436904
MA,esparso,Bellman-Ford,200,0.40,10,3239600,722088
LA,denso,Dijkstra,200,0.60,1,215300,3040224
MA,denso,Dijkstra,200,0.60,1,874200,1866912
LA,denso,Bellman-Ford,200,0.60,1,7693100,3040224
MA,denso,Bellman-Ford,200,0.60,1,4524900,1866912
LA,denso,Dijkstra,200,0.60,2,252200,3040224
MA,denso,Dijkstra,200,0.60,2,502500,1866912
LA,denso,Bellman-Ford,200,0.60,2,6412000,3040224
MA,denso,Bellman-Ford,200,0.60,2,4509200,1866912
LA,denso,Dijkstra,200,0.60,3,248200,3040224
MA,denso,Dijkstra,200,0.60,3,506100,1866912
LA,denso,Bellman-Ford,200,0.60,3,6156500,3040224
MA,denso,Bellman-Ford,200,0.60,3,4747500,1866912
LA,denso,Dijkstra,200,0.60,4,353300,3040224
MA,denso,Dijkstra,200,0.60,4,504500,1866912
LA,denso,Bellman-Ford,200,0.60,4,7819600,3040224
MA,denso,Bellman-Ford,200,0.60,4,4429000,1866912
LA,denso,Dijkstra,200,0.60,5,283000,3040224
MA,denso,Dijkstra,200,0.60,5,515600,1866912
LA,denso,Bellman-Ford,200,0.60,5,5873800,3040224
MA,denso,Bellman-Ford,200,0.60,5,6153200,1866912
LA,denso,Dijkstra,200,0.60,6,288800,3040224
